timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T08:00:00,2025-06-05T06:51:00+00:00,KORD,12.8,11.7,7.56,101690,8050,,93.025244755636,
2025-06-05T08:00:00,2025-06-05T06:53:00+00:00,KENW,11.7,9.4,0.0,101760,11270,,85.795186713907,
2025-06-05T08:00:00,2025-06-05T06:53:00+00:00,KMDW,14.4,12.2,11.16,101690,8050,,86.639151568653,
2025-06-05T08:00:00,2025-06-05T06:35:00+00:00,KPNT,15.3,14.0,7.56,101730,16090,,91.955945125991,
