timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T12:00:00,2025-06-05T10:51:00+00:00,KORD,12.8,10.6,11.16,101800,6440,,86.482711038053,
2025-06-05T12:00:00,2025-06-05T10:53:00+00:00,KENW,13.9,9.4,7.56,101900,9660,,74.290523029752,
2025-06-05T12:00:00,2025-06-05T10:53:00+00:00,KMDW,13.9,11.1,14.76,101760,4830,,83.220266513554,
2025-06-05T12:00:00,2025-06-05T10:55:00+00:00,KPNT,14.5,13.5,12.96,101760,4830,,93.722243012833,
