timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T16:00:00,2025-06-05T13:51:00+00:00,KORD,17.2,13.9,18.36,101930,9660,,80.944625466085,
2025-06-05T16:00:00,2025-06-05T13:53:00+00:00,KENW,18.3,11.1,12.96,102070,9660,,62.853343399759,
2025-06-05T16:00:00,2025-06-05T13:53:00+00:00,KMDW,18.9,13.9,16.56,101900,9660,,72.743427315857,
2025-06-05T16:00:00,2025-06-05T14:35:00+00:00,KPNT,18.1,14.7,20.52,101860,11270,,80.542377965215,
