timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-07T00:00:00,2025-06-06T22:51:00+00:00,KORD,22.2,8.9,16.56,101290,9660,,42.632430318721,21.588735680544445
2025-06-07T00:00:00,2025-06-06T22:53:00+00:00,KENW,22.8,5.0,14.76,101390,16090,,31.463624188018,21.957105742687222
2025-06-07T00:00:00,2025-06-06T22:53:00+00:00,KMDW,22.2,10.0,20.52,101290,12870,,45.902838265483,21.674129665821113
2025-06-07T00:00:00,2025-06-06T22:55:00+00:00,KPNT,25.6,13.5,0.0,101220,16090,,47.138305666597,25.446389092405557
