timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T22:00:00,2025-06-06T19:51:00+00:00,KORD,25.0,5.6,12.96,101390,16090,,28.738907480034,24.30596036197889
2025-06-06T22:00:00,2025-06-06T19:53:00+00:00,KENW,23.9,7.8,18.36,101490,16090,,35.701958887539,23.27777337095222
2025-06-06T22:00:00,2025-06-06T19:53:00+00:00,KMDW,25.0,,14.76,101360,12870,,,
2025-06-06T22:00:00,2025-06-06T20:35:00+00:00,KPNT,25.2,15.4,11.16,101290,11270,,54.577441437262,25.20063319308389
