timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T16:00:00,2025-06-06T14:51:00+00:00,KORD,22.2,12.2,12.96,101520,14480,,53.113926613178,21.862419194899445
2025-06-06T16:00:00,2025-06-06T14:53:00+00:00,KENW,21.1,11.1,12.96,101630,16090,,52.828674138995,
2025-06-06T16:00:00,2025-06-06T14:53:00+00:00,KMDW,22.2,11.7,11.16,101520,11270,,51.392826638915,21.817479362238334
2025-06-06T16:00:00,2025-06-06T14:55:00+00:00,KPNT,20.1,14.9,7.56,101560,11270,,72.023742108355,
