timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-07T02:00:00,2025-06-07T00:51:00+00:00,KORD,19.4,4.4,14.76,101390,16090,,37.177742788592,
2025-06-07T02:00:00,2025-06-07T00:53:00+00:00,KENW,19.4,5.6,14.76,101420,16090,,40.417401328958,
2025-06-07T02:00:00,2025-06-07T00:53:00+00:00,KMDW,20.6,3.3,16.56,101390,16090,,31.948165057274,
2025-06-07T02:00:00,2025-06-07T00:55:00+00:00,KPNT,23.2,13.5,20.52,101290,16090,,54.425064697445,22.9966544671
