timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T12:00:00,2025-06-06T10:51:00+00:00,KORD,13.9,8.9,11.16,101520,11270,,71.830365829443,
2025-06-06T12:00:00,2025-06-06T10:53:00+00:00,KENW,14.4,8.9,7.56,101590,16090,,69.541791158165,
2025-06-06T12:00:00,2025-06-06T10:53:00+00:00,KMDW,16.7,10.0,9.36,101520,12870,,64.618443338854,
2025-06-06T12:00:00,2025-06-06T11:15:00+00:00,KPNT,17.0,13.8,5.4,101590,8050,,81.445488983858,
