timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T04:00:00,2025-06-06T02:51:00+00:00,KORD,17.8,8.9,9.36,101690,11270,,55.982539923928,
2025-06-06T04:00:00,2025-06-06T02:53:00+00:00,KENW,16.1,9.4,9.36,101800,14480,,64.486025639597,
2025-06-06T04:00:00,2025-06-06T02:53:00+00:00,KMDW,18.3,8.3,9.36,101730,14480,,52.093093105562,
2025-06-06T04:00:00,2025-06-06T02:55:00+00:00,KPNT,17.7,16.0,11.16,101660,8050,,89.779319955959,
