timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T14:00:00,2025-06-05T11:51:00+00:00,KORD,14.4,10.0,12.96,101830,9660,,74.8764630203,
2025-06-05T14:00:00,2025-06-05T12:53:00+00:00,KENW,17.2,11.1,11.16,101970,9660,,67.362333041274,
2025-06-05T14:00:00,2025-06-05T10:53:00+00:00,KMDW,13.9,11.1,14.76,101760,4830,,83.220266513554,
2025-06-05T14:00:00,2025-06-05T12:35:00+00:00,KPNT,15.9,14.4,12.96,101860,6440,,90.811160003404,
