timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T18:00:00,2025-06-06T16:51:00+00:00,KORD,23.9,8.3,14.76,101560,16090,,36.935655278352,23.309986554490557
2025-06-06T18:00:00,2025-06-06T16:53:00+00:00,KENW,22.8,7.8,9.36,101660,16090,,38.153029942461,22.131773559608888
2025-06-06T18:00:00,2025-06-06T16:53:00+00:00,KMDW,23.3,10.0,11.16,101560,12870,,42.941005527428,22.806792922105
2025-06-06T18:00:00,2025-06-06T16:55:00+00:00,KPNT,21.9,15.7,0.0,101560,11270,,67.880264899996,21.91798469461111
