timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T22:00:00,2025-06-05T19:51:00+00:00,KORD,22.2,13.3,20.52,101800,11270,,57.080129993681,21.965981172057223
2025-06-05T22:00:00,2025-06-05T19:53:00+00:00,KENW,23.9,12.2,16.56,101900,9660,,47.922706984155,23.59687068236389
2025-06-05T22:00:00,2025-06-05T19:53:00+00:00,KMDW,21.1,13.9,25.92,101800,11270,,63.480539479395,
2025-06-05T22:00:00,2025-06-05T19:55:00+00:00,KPNT,24.1,,18.36,101690,8050,,,
