timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T18:00:00,2025-06-05T16:51:00+00:00,KORD,21.1,13.3,,101830,8050,,61.051107934259,
2025-06-05T18:00:00,2025-06-05T16:53:00+00:00,KENW,22.2,13.9,16.56,101970,6440,,59.351542800087,22.025290284224443
2025-06-05T18:00:00,2025-06-05T16:53:00+00:00,KMDW,21.7,11.7,24.12,101860,8050,,52.984525533753,21.309040388936666
2025-06-05T18:00:00,2025-06-05T16:55:00+00:00,KPNT,21.6,15.8,22.32,101800,11270,,69.579488438963,21.632353309239445
