timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T08:00:00,2025-06-06T05:51:00+00:00,KORD,15.0,8.9,0.0,101660,14480,,66.902625351419,
2025-06-06T08:00:00,2025-06-06T05:53:00+00:00,KENW,16.1,8.9,5.4,101730,16090,,62.350547871685,
2025-06-06T08:00:00,2025-06-06T05:53:00+00:00,KMDW,17.8,7.2,7.56,101660,14480,,49.875731701621,
2025-06-06T08:00:00,2025-06-06T06:35:00+00:00,KPNT,17.1,14.0,5.4,101690,11270,,81.988472107309,
