timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T00:00:00,2025-06-05T21:51:00+00:00,KORD,21.7,12.8,,101730,8050,,56.95714714101,21.412769953126112
2025-06-06T00:00:00,2025-06-05T21:53:00+00:00,KENW,22.8,11.7,11.16,101830,9660,,49.553282165844,22.429446812108335
2025-06-06T00:00:00,2025-06-05T21:53:00+00:00,KMDW,21.1,12.8,16.56,101760,8050,,59.089495188479,
2025-06-06T00:00:00,2025-06-05T21:55:00+00:00,KPNT,22.8,16.0,18.36,101690,11270,,65.508611867235,22.846058198755557
