timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T14:00:00,2025-06-06T12:51:00+00:00,KORD,17.8,10.6,7.56,101590,12870,,62.739851493171,
2025-06-06T14:00:00,2025-06-06T12:53:00+00:00,KENW,17.8,11.1,7.56,101690,16090,,64.859503898911,
2025-06-06T14:00:00,2025-06-06T12:53:00+00:00,KMDW,18.9,11.1,0.0,101590,11270,,60.53727408335,
2025-06-06T14:00:00,2025-06-06T12:55:00+00:00,KPNT,17.9,12.5,9.36,101560,11270,,70.687782271499,
