timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T02:00:00,2025-06-06T00:51:00+00:00,KORD,19.4,11.1,16.56,101690,8050,,58.680239594238,
2025-06-06T02:00:00,2025-06-06T00:53:00+00:00,KENW,20.0,9.4,5.4,101730,14480,,50.46925737563,
2025-06-06T02:00:00,2025-06-05T23:53:00+00:00,KMDW,20.6,11.7,20.52,101690,8050,,56.685020768974,
2025-06-06T02:00:00,2025-06-06T01:15:00+00:00,KPNT,18.7,15.3,18.36,101690,8050,,80.622754626499,
