timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T10:00:00,2025-06-05T08:51:00+00:00,KORD,12.2,11.1,7.56,101760,8050,,92.993524010865,
2025-06-05T10:00:00,2025-06-05T08:53:00+00:00,KENW,10.6,7.8,0.0,101830,12870,,82.818647556175,
2025-06-05T10:00:00,2025-06-05T08:53:00+00:00,KMDW,13.3,11.7,7.56,101800,4830,,90.036281705393,
2025-06-05T10:00:00,2025-06-05T08:35:00+00:00,KPNT,14.0,13.5,11.16,101730,6440,,96.804144392118,
