timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T20:00:00,2025-06-05T17:51:00+00:00,KORD,21.7,12.2,,101860,8050,,54.758930085835,21.355372063352224
2025-06-05T20:00:00,2025-06-05T18:53:00+00:00,KENW,23.3,12.8,16.56,101900,9660,,51.681409983201,23.035014594005556
2025-06-05T20:00:00,2025-06-05T18:53:00+00:00,KMDW,20.0,13.3,25.92,101800,11270,,65.335081827887,
2025-06-05T20:00:00,2025-06-05T19:15:00+00:00,KPNT,23.8,12.3,16.56,101730,8050,,48.529690257356,23.502719690053333
