timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-05T06:00:00,2025-06-05T04:51:00+00:00,KORD,14.4,11.7,7.56,101760,11270,,83.831702542696,
2025-06-05T06:00:00,2025-06-05T04:53:00+00:00,KENW,13.3,10.0,0.0,101860,12870,,80.418244090481,
2025-06-05T06:00:00,2025-06-05T04:53:00+00:00,KMDW,15.0,12.8,9.36,101760,12870,,86.697136399328,
2025-06-05T06:00:00,2025-06-05T04:55:00+00:00,KPNT,15.5,14.5,5.4,101760,16090,,93.769260665021,
