timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T20:00:00,2025-06-06T18:51:00+00:00,KORD,23.9,5.0,18.36,101390,16090,,29.442301670605,23.114326765843334
2025-06-06T20:00:00,2025-06-06T18:53:00+00:00,KENW,23.9,8.9,14.76,101520,16090,,38.465645386488,23.349936296202777
2025-06-06T20:00:00,2025-06-06T18:53:00+00:00,KMDW,25.0,9.4,14.76,101390,12870,,37.247579825873,24.52813125100889
2025-06-06T20:00:00,2025-06-06T18:55:00+00:00,KPNT,22.9,16.4,9.36,101420,16090,,66.794320922265,22.989629490747777
