timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-07T04:00:00,2025-06-07T02:51:00+00:00,KORD,17.8,4.4,12.96,101420,16090,,41.092708039764,
2025-06-07T04:00:00,2025-06-07T02:53:00+00:00,KENW,16.7,6.1,9.36,101490,16090,,49.575866677137,
2025-06-07T04:00:00,2025-06-07T02:53:00+00:00,KMDW,18.9,4.4,12.96,101420,16090,,38.354294743103,
2025-06-07T04:00:00,2025-06-07T02:55:00+00:00,KPNT,19.0,13.5,16.56,101390,11270,,70.435921391893,
