timeOfCollection,timestamp,station,temperature,dewpoint,windSpeed,barometricPressure,visibility,precipitationLastHour,relativeHumidity,heatIndex
2025-06-06T10:00:00,2025-06-06T08:51:00+00:00,KORD,15.6,8.9,9.36,101560,14480,,64.375172704717,
2025-06-06T10:00:00,2025-06-06T08:53:00+00:00,KENW,15.6,7.8,9.36,101630,16090,,59.749933900481,
2025-06-06T10:00:00,2025-06-06T08:53:00+00:00,KMDW,17.2,8.9,7.56,101560,16090,,58.142820591561,
2025-06-06T10:00:00,2025-06-06T08:55:00+00:00,KPNT,16.6,13.1,11.16,101560,11270,,79.816704325289,
